image_path,score,dataset,split,relative_path
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_460_19917748118_4395936834_b.jpg,0.7,aadb,train,farm1_460_19917748118_4395936834_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_464_19642533584_225eae1cbe_b.jpg,0.25,aadb,train,farm1_464_19642533584_225eae1cbe_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_314_20150354226_3d5f321dc8_b.jpg,0.6,aadb,train,farm1_314_20150354226_3d5f321dc8_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3680_19503935113_5697d645b1_b.jpg,0.45,aadb,train,farm4_3680_19503935113_5697d645b1_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_321_19977696362_6f804fa00a_b.jpg,0.7,aadb,train,farm1_321_19977696362_6f804fa00a_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_256_20137721756_6ec45cce3e_b.jpg,0.75,aadb,train,farm1_256_20137721756_6ec45cce3e_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_538_19493787864_f1f693f0d7_b.jpg,0.75,aadb,train,farm1_538_19493787864_f1f693f0d7_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3705_20129196731_43e563c5e1_b.jpg,0.7,aadb,train,farm4_3705_20129196731_43e563c5e1_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_484_20154880246_d80e713291_b.jpg,0.7,aadb,train,farm1_484_20154880246_d80e713291_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_357_19979104270_d5eddb05af_b.jpg,0.65,aadb,train,farm1_357_19979104270_d5eddb05af_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_310_20163828786_94816766ab_b.jpg,0.65,aadb,train,farm1_310_20163828786_94816766ab_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_278_19577139934_9211febfb6_b.jpg,0.45,aadb,train,farm1_278_19577139934_9211febfb6_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_308_19973391160_b681c70f4c_b.jpg,0.5,aadb,train,farm1_308_19973391160_b681c70f4c_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_360_20177462746_e415eaa9a9_b.jpg,0.35,aadb,train,farm1_360_20177462746_e415eaa9a9_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_513_20108498725_887613d688_b.jpg,0.65,aadb,train,farm1_513_20108498725_887613d688_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_468_19805855899_9fac35f779_b.jpg,0.4,aadb,train,farm1_468_19805855899_9fac35f779_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_267_19923634110_012b5da700_b.jpg,0.5,aadb,train,farm1_267_19923634110_012b5da700_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_262_19794251160_e595ee2fce_b.jpg,0.5,aadb,train,farm1_262_19794251160_e595ee2fce_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_286_20006197019_b2e12c5905_b.jpg,0.45,aadb,train,farm1_286_20006197019_b2e12c5905_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_345_20084414911_fac2edb5e3_b.jpg,0.65,aadb,train,farm1_345_20084414911_fac2edb5e3_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_338_19570245094_205c7d1bb2_b.jpg,0.45,aadb,train,farm1_338_19570245094_205c7d1bb2_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_356_19460063023_aaf0745413_b.jpg,0.5,aadb,train,farm1_356_19460063023_aaf0745413_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_384_20095799096_16d8696589_b.jpg,0.55,aadb,train,farm1_384_20095799096_16d8696589_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_329_20186252575_79ddb60286_b.jpg,0.3,aadb,train,farm1_329_20186252575_79ddb60286_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_364_20217540681_2f3abbf356_b.jpg,0.7,aadb,train,farm1_364_20217540681_2f3abbf356_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_282_20263115322_dd66563c65_b.jpg,0.35,aadb,train,farm1_282_20263115322_dd66563c65_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3690_19504918844_9f469ba4ac_b.jpg,0.55,aadb,train,farm4_3690_19504918844_9f469ba4ac_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_283_20180969755_86420b5fa4_b.jpg,0.75,aadb,train,farm1_283_20180969755_86420b5fa4_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_350_20003394170_187a2f63b2_b.jpg,0.95,aadb,train,farm1_350_20003394170_187a2f63b2_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_477_19639023984_3d64467ce7_b.jpg,0.95,aadb,train,farm1_477_19639023984_3d64467ce7_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_368_20090046735_e4f22db90f_b.jpg,0.6,aadb,train,farm1_368_20090046735_e4f22db90f_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_373_19573173074_5630263f33_b.jpg,0.75,aadb,train,farm1_373_19573173074_5630263f33_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_355_19973741780_d305669631_b.jpg,0.45,aadb,train,farm1_355_19973741780_d305669631_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_466_20137019910_a63a886522_b.jpg,0.65,aadb,train,farm1_466_20137019910_a63a886522_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_397_20020742599_4c32653d64_b.jpg,0.7,aadb,train,farm1_397_20020742599_4c32653d64_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_261_20291527711_a4537d08a7_b.jpg,0.65,aadb,train,farm1_261_20291527711_a4537d08a7_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_346_20104494812_a9031d331a_b.jpg,0.8,aadb,train,farm1_346_20104494812_a9031d331a_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_363_20219965221_a8707ac329_b.jpg,0.8,aadb,train,farm1_363_20219965221_a8707ac329_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_387_19499496333_9a9805ac01_b.jpg,0.3,aadb,train,farm1_387_19499496333_9a9805ac01_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_363_19644240073_74c49d23cf_b.jpg,0.4,aadb,train,farm1_363_19644240073_74c49d23cf_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_364_19889104200_09abb66334_b.jpg,0.9,aadb,train,farm1_364_19889104200_09abb66334_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3677_20174911012_595e03bcd1_b.jpg,0.5,aadb,train,farm4_3677_20174911012_595e03bcd1_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_413_20173230442_4b976c7372_b.jpg,0.55,aadb,train,farm1_413_20173230442_4b976c7372_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_387_20104751661_bcd550a917_b.jpg,0.3,aadb,train,farm1_387_20104751661_bcd550a917_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3674_20199844111_eaf6d7194b_b.jpg,0.6,aadb,train,farm4_3674_20199844111_eaf6d7194b_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_416_20108921206_b1d9a9a19d_b.jpg,0.75,aadb,train,farm1_416_20108921206_b1d9a9a19d_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_385_20121631611_a597c134c1_b.jpg,0.65,aadb,train,farm1_385_20121631611_a597c134c1_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_365_19484381943_2eab4a4636_b.jpg,0.6,aadb,train,farm1_365_19484381943_2eab4a4636_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_387_20139281296_de11c79e8b_b.jpg,0.75,aadb,train,farm1_387_20139281296_de11c79e8b_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_460_20086881028_1aff06e8fc_b.jpg,0.4,aadb,train,farm1_460_20086881028_1aff06e8fc_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_360_19939650990_9abf5c4350_b.jpg,0.7,aadb,train,farm1_360_19939650990_9abf5c4350_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_482_20133575432_aefd31ee4e_b.jpg,0.5,aadb,train,farm1_482_20133575432_aefd31ee4e_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_444_20127762675_29eb13c733_b.jpg,0.55,aadb,train,farm1_444_20127762675_29eb13c733_b.jpg
