image_path,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7,dist_8,dist_9,dist_10,mean_score,dataset,aesthetic_unit_score
data/raw/ava/images/829824.jpg,0,1,3,19,62,45,23,10,2,2,0.0,0.0059880239520958,0.0179640718562874,0.1137724550898203,0.3712574850299401,0.2694610778443114,0.1377245508982036,0.059880239520958,0.0119760479041916,0.0119760479041916,5.6646705,ava,0.51829672
data/raw/ava/images/847053.jpg,0,3,6,23,95,93,26,5,0,0,0.0,0.0119521912350597,0.0239043824701195,0.0916334661354581,0.3784860557768924,0.3705179282868526,0.1035856573705179,0.0199203187250996,0.0,0.0,5.4621515,ava,0.49579461
data/raw/ava/images/18511.jpg,14,39,55,74,41,14,1,1,1,0,0.0583333333333333,0.1625,0.2291666666666666,0.3083333333333333,0.1708333333333333,0.0583333333333333,0.0041666666666666,0.0041666666666666,0.0041666666666666,0.0,3.6083333,ava,0.28981481
data/raw/ava/images/420861.jpg,4,13,14,59,80,48,16,6,2,3,0.0163265306122449,0.0530612244897959,0.0571428571428571,0.2408163265306122,0.3265306122448979,0.1959183673469387,0.0653061224489796,0.0244897959183673,0.0081632653061224,0.0122448979591836,4.9142857,ava,0.43492063
data/raw/ava/images/261154.jpg,5,20,48,91,97,34,6,4,0,1,0.0163398692810457,0.065359477124183,0.1568627450980392,0.2973856209150327,0.3169934640522875,0.1111111111111111,0.0196078431372549,0.0130718954248366,0.0,0.0032679738562091,4.3333335,ava,0.37037039
data/raw/ava/images/739873.jpg,0,0,2,7,19,48,51,21,9,8,0.0,0.0,0.0121212121212121,0.0424242424242424,0.1151515151515151,0.2909090909090909,0.3090909090909091,0.1272727272727272,0.0545454545454545,0.0484848484848484,6.6848483,ava,0.63164981
data/raw/ava/images/313257.jpg,0,0,7,29,63,62,28,11,1,2,0.0,0.0,0.0344827586206896,0.1428571428571428,0.3103448275862069,0.3054187192118227,0.1379310344827586,0.0541871921182266,0.0049261083743842,0.0098522167487684,5.600985,ava,0.51122056
data/raw/ava/images/4701.jpg,1,3,8,36,76,76,36,22,11,1,0.0037037037037037,0.0111111111111111,0.0296296296296296,0.1333333333333333,0.2814814814814815,0.2814814814814815,0.1333333333333333,0.0814814814814814,0.0407407407407407,0.0037037037037037,5.733333,ava,0.52592589
data/raw/ava/images/642856.jpg,2,12,28,67,66,31,4,3,1,0,0.0093457943925233,0.0560747663551401,0.1308411214953271,0.3130841121495327,0.308411214953271,0.1448598130841121,0.0186915887850467,0.014018691588785,0.0046728971962616,0.0,4.462617,ava,0.38473522
data/raw/ava/images/893902.jpg,1,0,3,20,40,36,8,2,1,1,0.0089285714285714,0.0,0.0267857142857142,0.1785714285714285,0.3571428571428571,0.3214285714285714,0.0714285714285714,0.0178571428571428,0.0089285714285714,0.0089285714285714,5.330357,ava,0.48115078
data/raw/ava/images/708745.jpg,0,0,1,12,60,48,29,7,2,0,0.0,0.0,0.0062893081761006,0.0754716981132075,0.3773584905660377,0.3018867924528302,0.1823899371069182,0.0440251572327044,0.0125786163522012,0.0,5.7610064,ava,0.52900071
