image_id,split,width,height,boxes,mean_score,avg_patch_area_ratio,max_iou,avg_iou,out_of_bounds_count,near_duplicates,center_dist_from_mid
901092,train,700,475,"[[249, 7, 473, 231], [171, 15, 395, 239], [201, 116, 425, 340], [170, 250, 394, 474], [222, 250, 446, 474]]",4.688406,0.15090526315789474,0.6231884057971014,0.20779673680783062,0,0,0.22013261260710112
812007,train,257,640,"[[0, 236, 224, 460], [14, 171, 238, 395], [22, 254, 246, 478], [31, 11, 255, 235], [32, 255, 256, 479]]",4.6157894,0.3050583657587549,0.9067452023560707,0.3750242796057458,0,1,0.12385597108337316
805293,train,640,478,"[[143, 8, 367, 232], [223, 32, 447, 256], [0, 14, 224, 238], [371, 253, 595, 477], [261, 236, 485, 460]]",5.0756755,0.16401673640167364,0.40250447227191416,0.09663192188959198,0,0,0.29600442896929474
13463,train,640,483,"[[191, 0, 415, 224], [2, 66, 226, 290], [348, 124, 572, 348], [177, 238, 401, 462], [77, 258, 301, 482]]",5.188482,0.16231884057971013,0.33702835216371774,0.060450329509892174,0,0,0.2803277611838758
84759,train,640,427,"[[0, 11, 224, 235], [309, 52, 533, 276], [30, 127, 254, 351], [84, 196, 308, 420], [285, 201, 509, 425]]",4.5804877,0.18360655737704917,0.35607145752817493,0.09060782810617837,0,0,0.2849334740314125
520409,train,427,640,"[[3, 269, 227, 493], [25, 379, 249, 603], [76, 0, 300, 224], [196, 0, 420, 224], [198, 303, 422, 527]]",6.1666665,0.18360655737704917,0.3023255813953488,0.07395667113036522,0,0,0.3130618907153858
661647,train,427,592,"[[9, 337, 233, 561], [1, 2, 225, 226], [95, 184, 319, 408], [193, 100, 417, 324], [194, 195, 418, 419]]",5.515,0.19849357554275587,0.4018579311308235,0.1226443535769542,0,0,0.242812027686663
374922,train,640,427,"[[283, 11, 507, 235], [415, 84, 639, 308], [4, 169, 228, 393], [102, 107, 326, 331], [46, 202, 270, 426]]",4.26943,0.18360655737704917,0.5299893276414087,0.1279480820095957,0,0,0.2871540336908791
776360,train,640,525,"[[13, 0, 237, 224], [312, 0, 536, 224], [216, 85, 440, 309], [201, 298, 425, 522], [148, 300, 372, 524]]",5.8514853,0.14933333333333335,0.6084628946946626,0.08915615939998259,0,0,0.29084291353183145
454620,train,640,480,"[[6, 1, 230, 225], [187, 49, 411, 273], [94, 194, 318, 418], [406, 255, 630, 479], [0, 242, 224, 466]]",5.5084743,0.16333333333333333,0.29533250722841803,0.05481974552931992,0,0,0.32286252182566544
310487,train,492,640,"[[14, 415, 238, 639], [27, 285, 251, 509], [203, 1, 427, 225], [87, 146, 311, 370], [267, 0, 491, 224]]",6.5706806,0.15934959349593497,0.5517070757050965,0.1087688856096763,0,0,0.31299014449556484
677959,train,720,482,"[[382, 9, 606, 233], [295, 64, 519, 288], [0, 125, 224, 349], [157, 196, 381, 420], [164, 257, 388, 481]]",4.827586,0.14458275703088982,0.5443283421307767,0.11313913640325697,0,0,0.25662706739998914
920466,train,469,700,"[[2, 286, 226, 510], [79, 182, 303, 406], [106, 14, 330, 238], [211, 468, 435, 692], [244, 31, 468, 255]]",5.3189187,0.1528358208955224,0.2156511205330103,0.06035933602378093,0,0,0.2964758423455129
